Press (GPa)	Temp (K)	Density (g/cm^-3)	S (J/(K*g))
1e-09	100.0	1.9544294585057167e-09	1e-11
1e-09	112.2018454301963	1.7487591505767182e-09	4e-11
1e-09	125.89254117941675	1.6489215731508328e-09	1e-11
1e-09	141.2537544622754	1.675212866679383e-09	3e-12
1e-09	158.48931924611142	1.1800217167520017e-09	3e-12
1e-09	177.82794100389228	1.8107145859426535e-09	2.9e-10
1e-09	199.52623149688787	1.4108472630445137e-09	1e-11
1e-09	223.872113856834	1.3347502165809529e-09	5e-12
1e-09	251.18864315095797	1e-09	1.2e-11
1e-09	281.8382931264455	1e-09	1.5e-11
1e-09	316.22776601683796	1e-09	3.1e-11
1e-09	354.8133892335753	1e-09	2.8e-11
1e-09	398.1071705534973	1e-09	5.3e-11
1e-09	446.683592150963	1e-09	5.1e-11
1e-09	501.18723362727246	1e-09	1.26e-10
1e-09	562.341325190349	1e-09	1.83e-10
1e-09	630.957344480193	1e-09	3.58e-10
1e-09	707.945784384138	1e-09	1.339e-09
1e-09	794.3282347242813	1e-09	9.65e-10
1e-09	891.2509381337459	1e-09	2.664e-09
1e-09	1000.0	1e-09	4.665e-09
1e-09	1122.018454301963	1e-09	1.3513e-08
1e-09	1258.9254117941675	1e-09	3.409e-08
1e-09	1412.537544622754	1e-09	1.02485e-07
1e-09	1584.893192461114	1e-09	4.01171e-07
1e-09	1778.2794100389228	1e-09	7.33179e-07
1e-09	1995.2623149688789	1e-09	3.320779e-06
1e-09	2238.72113856834	1e-09	8.616681e-06
1e-09	2511.88643150958	1e-09	3.5610658e-05
1e-09	2818.382931264455	1e-09	9.972407117415478e+19
1e-09	3162.2776601683795	1e-09	0.483860310729
1e-09	3548.133892335753	1e-09	0.006792818333
1e-09	3981.0717055349733	1e-09	0.016100152883
1e-09	4466.835921509631	1e-09	0.069947146161
1e-09	5011.872336272725	1e-09	0.486664872531
1e-09	5623.413251903491	1e-09	6.603892574785
1e-09	6309.57344480193	1e-09	17.790985265651
1e-09	7079.457843841381	1e-09	83.830103045155
1e-09	7943.282347242814	1e-09	1267.068224998549
1e-09	8912.509381337459	1e-09	111121.98737687343
1e-09	10000.0	1e-09	7.244359600750128e+189
1e-09	11220.18454301963	1e-09	102777.96158762298
1e-09	12589.254117941662	1e-09	1.6576773368488672e+54
